文本内容,时间,点赞,评论,转发
【更好的自己，就在日常的每一点改变里】我们一生都在向着更好的自己靠近。坚持锻炼，强健体魄；减少熬夜，保持自律；停止拖延，开始行动；专注当下，集中精力......想成为什么样的人，就要一直朝着那个方向努力。9个自我提升的小习惯↓↓持之以恒，不断进步，你终将活成自己想要的模样。共勉，早安！ ???,Mon Nov 07 07:38:02 +0800 2022,3692,1373,2561
【今日#立冬#】①11月7日18时45分，立冬，民间习惯把这天作为冬季之始；②立冬过后，日照继续缩短，气温下降，应早睡晚起，保证充足睡眠，调整情绪，宽展心境；③北方有“立冬不端饺子碗，冻掉耳朵没人管”的说法。#你那里立冬吃啥#？冬天来了，养精蓄锐，积累能量，为明年春天做好储备。#你好冬天#！ ???,Mon Nov 07 06:49:17 +0800 2022,7794,2404,5893
【#你好，明天#】从被封锁到全球领先，北斗背后“天团”曝光。这是一个咬牙坚持、艰难攻关的创业故事，这也是精诚合作、精益求精的奋进历程。从跟跑、并跑到领跑，一路有多艰辛，高奏凯歌时就有多荣耀。北斗“心脏”中国造，用北京时间给世界定位，致敬所有献身北斗事业的奋斗者！ ???,Sun Nov 06 23:23:20 +0800 2022,4139,1451,1784
【惊心动魄、生死对决！#警方缉毒一线真实画面#】他们身着便衣，摸排吸贩毒人员；斗智斗勇，进行生与死的较量。记住这些禁毒民警的伤疤↓↓远离毒品，是爱护自己，也是保护缉毒警察！http://t.cn/A66m2Lwp ???,Sun Nov 06 22:56:47 +0800 2022,2907,348,332
【夜读：一个人最了不起的五种能力】①认清自己：凡事尽力而为、量力而行；②稳住脾气：淡定情绪、从容以对；③懂得变通：灵活应变，无畏向前；④能翻篇：活在现在和未来，才是活在希望里；⑤更新自己：持续学习、永葆年轻。详情戳文章↓↓  http://t.cn/A6oESJTZ ???,Sun Nov 06 22:22:08 +0800 2022,3306,1101,1654
【#用西游记打开中国短道速滑队#[哈哈]】当被问到最像《西游记》里的谁，#武大靖说搭档任子威像沙僧#。他自己又会最像谁？来看一段中国男子短道速滑队与《西游记》的梦幻联动↓↓http://t.cn/A6oRkgEM ???,Sun Nov 06 21:51:09 +0800 2022,2181,326,363
【正在直播：#最美中国戏龙凤呈祥#】过江招亲孙刘结缘，智计频出各显风采。《最美中国戏》第二季最后一期将带大家走进京剧传统经典大戏《龙凤呈祥》的故事，一起感受大浪千叠、虎略龙韬的三国风云。#最美中国戏第二季收官#一起看↓↓↓  http://t.cn/A6oEJcfO ???,Sun Nov 06 21:15:20 +0800 2022,1899,278,112416
【#立冬节气的养生指南#】明天将迎来冬季的第一个节气#立冬#。冬季养生的重点是什么？立冬进补有哪些特点？明日立冬，一份养生指南↓↓给关心的TA！ http://t.cn/A6oEIHcO ???,Sun Nov 06 20:38:22 +0800 2022,2567,633,1026
【#杭州无人机灯光秀为人民空军庆生#】近日，杭州上演主题灯光秀，为庆祝人民空军成立73周年预热，无人机编队变幻出各种空军战机图形，看看你认出了几个？传递↓↓http://t.cn/A6oEzIj4祝福#人民空军73岁生日快乐#！ ???,Sun Nov 06 19:56:23 +0800 2022,2127,388,346
【人民微评：#用法律痛击网课爆破手#】连日来，针对网课的黑客入侵、“爆破”引发关注。破坏秩序，侮辱他人，“网课爆破”给师生带来严重伤害。网课不容“爆破”，法律底线不容突破。还网课应有的秩序，除了设置严密防线反入侵，还要揪出“爆破手”，依法痛击。网络不是法外之地，虚拟空间也要存敬畏之 ???,Sun Nov 06 19:18:27 +0800 2022,13135,1136,1478
【从被封锁到全球领先，#北斗背后天团曝光#】“卖给中国就要被制裁”！北斗研制过程中，突遭技术封锁。一支以80后、90后为主力的团队，攻坚26年，真正让“中国的北斗”成为了“世界的北斗”。#请大家记住这支北斗天团#↓↓ http://t.cn/A6oE2zuf ???,Sun Nov 06 18:39:47 +0800 2022,3345,774,1352
【#航拍8D立体魔幻重庆#】这里是重庆，列车穿楼而过、立交桥层层叠叠；这里有黄金水道，也是一片奋斗热土。#从空中看重庆人吃火锅#是什么体验↓↓一起天际遨游，与最极致的重庆正面相遇！ http://t.cn/A6oEZREs ???,Sun Nov 06 17:57:13 +0800 2022,3096,422,599
【收藏！#中国空间站简笔画攻略#】天和、问天、梦天、神舟、天舟、天宫分别怎么画？心灵手巧的航天人教你一笔一笔画出空间站！教程已上线↓↓转给孩子们学学！http://t.cn/A6oQyHyG ???,Sun Nov 06 17:16:35 +0800 2022,1347,233,448
【期待！#8日一起看红月亮#】天文专家介绍，11月8日天宇将上演精彩的月全食。这次月全食有两大特点：①#我国大部分地区8日可看到全食红月亮#阶段；②全食阶段月球会遮掩天王星。这次月全食始于北京时间8日16时00分，我国东北地区可见月食全过程，其他地区则可见“带食而出”。http://t.cn/A6oRss31 ???,Sun Nov 06 16:38:20 +0800 2022,2166,576,918
【#直播探访进博会汽车展区#：一起体验未来出行】#第五届进口博览会#正在举行。@人民日报 记者来到进博会汽车展区，探秘智慧出行和新能源应用。戳直播↓↓一起打卡！  http://t.cn/A6oRs6sK ???,Sun Nov 06 16:00:17 +0800 2022,682,124,114
【#4K原声大片看空军战机飞行#】11月5日，空军多型战机在中国航展开幕前检验性飞行。4架歼-20组成钻石队形亮相，首次展示双机盘旋；首次亮相中国航展的运油-20，释放出3根加油管；两架歼-16战机，超低空通场…4K超高清视频，看#20家族战机珠海振翅#↓↓http://t.cn/A6oRlXLc ???,Sun Nov 06 15:36:38 +0800 2022,1227,250,327
【#圆滚滚的熊猫宝宝有多萌#[憧憬]】#熊猫团子和毛球有啥区别#？网友：熊猫宝宝有加倍的可爱~http://t.cn/A6o8V4it ???,Sun Nov 06 14:56:58 +0800 2022,1691,487,360
【万元红包等你！#人民日报视频客户端视界#有奖公测】汇聚权威视频资讯，推荐优质自媒体视频，通过AI+秒播+8k等新技术为你带来高清沉浸的视觉体验！11月6日至12日，人民日报视频客户端“视界”开启有奖公测，戳链接→http://t.cn/A6oRuZDM下载体验并提交反馈，即有机会赢取万元现金红包↓快来参与吧！ ???,Sun Nov 06 14:32:30 +0800 2022,485,121,69
【参与感十足！#青岛一小学校牌由学生轮流写#】近日，山东青岛。莱西市第二实验小学，新更换了一副由学生书写的“书法校牌”。该校为弘扬传统文化，常年坚持开展学生书写校牌活动，并将这些校牌悬挂在校门口，定期更换。#这所小学坚持悬挂学生书法校牌#↓↓http://t.cn/A6oYLZhK ???,Sun Nov 06 14:02:41 +0800 2022,10083,553,621
【云海翻腾！#四川贡嘎雪山绝美火烧云#[心]】近日，四川贡嘎山，日出时分霞光映红天际，金色日光洒在奔流的云海之上，炽热而浪漫。云层在日光的照耀下灿如锦绣，云霞在雪山之巅翻腾奔涌，蔚为壮观。http://t.cn/A6o8Iz5n ???,Sun Nov 06 13:14:07 +0800 2022,3413,573,755
【#毒贩街头交易便衣民警合力默契拿下#[赞]】近日，一毒贩正在湖北襄阳街头联系交易，便衣民警假装从他身边经过，另一波警察也赶到支援，趁毒贩还没反应过来，默契配合一举将其拿下。共缴获毒品22.36g，麻古50颗。#便衣民警街头抓毒贩现场画面#↓↓对毒品坚决说“不”！http://t.cn/A6o8XBEp ???,Sun Nov 06 12:27:51 +0800 2022,2133,333,214
【转需！#2个动作缓解颈源性头痛#】长期伏案低头，导致肌肉紧张、头疼？可能是“痛在头部，病在颈椎”的颈源性头痛。试试这2个动作，可以拉伸紧张的肌肉，同时增强肌肉力量，有效缓解颈源性头痛。#简单易做的护颈操#↓↓http://t.cn/A6oR2Cdy ???,Sun Nov 06 11:40:16 +0800 2022,2047,340,1296
【超帅！#近距离感受歼20运油20亮相航展#】11月5日下午，空军歼-20和运油-20飞过珠海金湾机场上空，进行检验性飞行训练。#4K实拍歼20运油20飞行训练#↓↓一睹为快！http://t.cn/A6o8DFL8 ???,Sun Nov 06 10:58:35 +0800 2022,1693,435,589
【抢先看！#珠海航展全景直播#】第十四届中国国际航空航天博览会将于11月8日至13日举办。@人民日报 联动@中国军视网 ，带来新鲜的航展咨询、有料的专家讲解、捕捉展会精彩的瞬间、表现真切的观展感受，见证我国航空航天及国防科技领域的辉煌成就。戳直播↓↓  http://t.cn/A6oRlHLC ???,Sun Nov 06 10:09:48 +0800 2022,1620,278,339
【飞越海峡，#90秒俯瞰宝岛台湾#[心]】你心中的宝岛是什么样子？飞越浅浅的海峡，在高山之上看见生命的律动，在平静的港湾感受浪漫，遇见校园民谣中的澎湖湾，邂逅课本里的日月潭……航拍中国第四季台湾宣传片↓↓↓ http://t.cn/A6oROWUw ???,Sun Nov 06 09:40:51 +0800 2022,3443,711,818
【#11月5日新增526例本土确诊# #11月5日新增3894例本土无症状#】11月5日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例588例。其中境外输入病例62例（广东21例，福建20例，北京6例，山东4例，上海3例，四川3例，辽宁2例，内蒙古1例，江苏1例，陕西1例），含6例由无症状感染者转 ???,Sun Nov 06 09:04:27 +0800 2022,894,354,192
【#中国短道速滑赛季首金#！#短道速滑世界杯混合接力中国队摘金#】在刚刚结束的2022/2023赛季国际滑联短道速滑世界杯盐湖城站2000米混合接力比赛中，由李文龙@李文龍PZ 、张楚桐@桐楚张 、钟宇晨@短道速滑钟宇晨 、王欣然@王开心XinRan 组成的年轻中国队顶住压力，以2:37.153的成绩，力压韩国队、美国 ???,Sun Nov 06 08:55:13 +0800 2022,5311,655,853
【恭喜卫冕！#韦筱圆夺世锦赛高低杠金牌#[威武]】当地时间11月5日，2022年利物浦体操世锦赛进入单项决赛争夺。在女子高低杠项目中，去年世锦赛冠军韦筱圆以14.966分成功卫冕，帮助中国体操队赢得本届世锦赛第二枚金牌，另一位中国选手罗蕊获得第六名，祝贺！http://t.cn/A6oRGqke ???,Sun Nov 06 08:35:07 +0800 2022,5824,742,676
【#他22年不能露脸工作时怕遇到朋友#】云南普洱市毗邻世界毒源地“金三角”，是全国禁毒斗争的前沿阵地。从事缉毒工作22年的墨江县民警江河（化名），曾多次担任“不能露脸”的卧底警察。子弹曾从耳旁呼啸而过、卧底侦查时被朋友认出差点暴露…纵使万般危险，他和战友仍冲锋在缉毒一线。 ???,Sun Nov 06 08:03:49 +0800 2022,30000,1452,1499
【#北京中轴线银杏大赏#！今天，#发条微博告别秋天#】明天将迎来冬天的第一个节气“立冬”，秋天就要结束了。1分钟混剪穿梭北京中轴线↓↓看金黄与红墙琉璃的配搭、自然与文化的相遇。抓住秋天的尾巴，收藏今年“限定秋景”！ http://t.cn/A6oRaKoA ???,Sun Nov 06 07:31:43 +0800 2022,3225,729,1204
【成为自己喜欢的人，别人才会喜欢你】人找到可以坚持的爱好，把日子过得有滋有味；寻找适合自己的解压方式，不被负面情绪绑架；时不时给自己“小奖励”，用仪式感给生活调剂…18件调整自己的小事↓↓愿你我都能找到治愈自己的秘诀，都能活成想要的模样。周末，早安！ ???,Sun Nov 06 07:00:19 +0800 2022,5022,1652,3222
【#你好，明天#】全世界43个“国际湿地城市”中，中国占据13个，数量居各国第一。城市有湿地，生活有诗意，保护“地球之肾”，守护“生命之舟”，就是呵护我们的生命家园，让生活获取更好滋润。共谋湿地保护发展，实现人与自然和谐共生，行而不辍，未来可期。http://t.cn/A6o8NLDg ???,Sat Nov 05 23:00:08 +0800 2022,2330,907,862
【#御剑飞行视角穿越秋日秦岭#】近日，秦岭翠华山层林尽染，秋意浓浓。航拍镜头带你第一视角飞越秦岭翠华山，御剑飞行般观赏绝美秋日秦岭。网友：终于体验到了御剑飞行的飒爽！戳视频，一起感受↓↓http://t.cn/A6o841JR ???,Sat Nov 05 22:30:43 +0800 2022,2083,562,607
【夜读：提升自己，比仰望别人有意义】①当你提升了自己的技能，便能增强自信心；②当你提升了思维，便能拓宽格局；③当你提升了自己的心态，便能改变人生的高度。持之以恒，不断进步，你终将活成自己想要的模样。共勉！ http://t.cn/A6oRvm4F ???,Sat Nov 05 21:52:26 +0800 2022,4278,1449,2027
【祝贺！#中星19号卫星成功发射升空#】11月5日19时50分，我国在西昌卫星发射中心用长征三号乙运载火箭，成功将中星19号卫星发射升空，卫星顺利进入预定轨道，发射任务获得圆满成功，该卫星主要为跨太平洋重要航线、东太平洋海域及北美西海岸等覆盖区域提供通信服务。 http://t.cn/A6o8gGla ???,Sat Nov 05 20:36:15 +0800 2022,3385,1101,1375
【激情澎湃！#女孩练琴前不忘激情弹唱国歌#】近日，陕西西安，一名小女孩每次练琴前都激情昂扬地弹唱国歌，令人动容。女孩的妈妈用视频记录下这一激情时刻。#孩子的爱国精神有多赤诚# http://t.cn/A6o8jP9S ???,Sat Nov 05 20:00:38 +0800 2022,3740,532,503
【习近平：中国将建设人与自然和谐共生的现代化】11月5日下午，国家主席习近平以视频方式出席在武汉举行的《湿地公约》第十四届缔约方大会开幕式并发表题为《珍爱湿地 守护未来 推进湿地保护全球行动》的致辞。致辞全文，点击http://t.cn/A6o8TWSV http://t.cn/A6o88yYc ???,Sat Nov 05 19:28:02 +0800 2022,1384,243,380
【#三个动作保护髋关节# 】如果经常感觉关节酸痛、四肢无力，这可能是骨密度下降的征兆。试试专家推荐的“抬腿操”，三个动作增强臀部和下肢肌肉力量，起到保护髋关节的作用。戳视频↓↓练起来吧！#有效增强下肢力量的抬腿操# http://t.cn/A6o8CAME ???,Sat Nov 05 18:53:29 +0800 2022,1059,255,537
【现场原声！#空军4架歼20亮相珠海航展#】第十四届中国航展开幕在即，11月5日下午，空军4架歼-20战机飞过珠海金湾机场上空，进行检验性飞行。戳视频↓↓http://t.cn/A6o8SWOB ???,Sat Nov 05 17:53:53 +0800 2022,2449,465,587
【绝美！#穿越四季看遍中国湿地#】你知道吗？2022年，全球已被评为国际湿地城市的共有43个，其中中国占13个，位居世界第一。春生夏长，秋收冬藏，在中国湿地约5635万公顷的土地上，流转生生不息的四季交响，谱写岁物丰成的绝美篇章。戳视频，一起看大美湿地！#珍爱湿地 人与自然和谐共生#  ???,Sat Nov 05 16:19:12 +0800 2022,4382,1062,2447
【[话筒]#教育部开设高校疫情防控投诉平台#】为推动各地各高校科学精准做好校园疫情防控工作，解决校园疫情防控工作中师生急难愁盼问题，教育部设立高校疫情防控投诉平台，接受在线提交和电话反映问题线索。受理事项：校园封控、转运隔离、核酸检测、流调排查、教育教学、管理服务、生活保障、离校返乡 ???,Sat Nov 05 15:38:19 +0800 2022,3383,813,1306
【国家卫健委：提高科学精准防控水平 防止简单化、“一刀切”】11月5日，国家卫健委发言人米锋在#国务院联防联控机制发布会#上表示，要提高科学精准防控水平，切实保障群众正常生产生活秩序，防止简单化、“一刀切”，坚决整治层层加码。对于典型案例，#国务院联防联控机制将加大通报和曝光力度#。  ???,Sat Nov 05 15:26:03 +0800 2022,2007,1757,1137
【#疾控局通报群众反映较多的问题#：依法依规严肃问责】#国务院联防联控机制发布会#上，国家疾控局监督一司二级巡视员妥佳：一是对来自于低风险地区人员采取强制劝返、隔离等限制措施；二是随意将限制出行的范围由中高风险地区扩大到其他地区；三是随意扩大采取隔离管控措施的风险人群范围。除了违反九 ???,Sat Nov 05 15:20:21 +0800 2022,32033,9858,6964
【正在直播：#国务院联防联控机制发布会#】11月5日，国务院联防联控机制召开新闻发布会，国家疾控局相关司局负责同志和有关专家将出席，介绍科学精准做好疫情防控有关情况，并回答媒体提问。@人民日报 正在直播↓↓  http://t.cn/A6o8oPU2 ???,Sat Nov 05 15:00:55 +0800 2022,20609,6501,4888
【#翼龙3无人机首次公开亮相#】第14届中国航展开幕在即，翼龙-3无人机今天首次公开亮相。翼龙-3无人机系统，是我国全新打造并完全拥有自主知识产权的无人机平台。具有“远航程、重挂载、多用途”的特点，在大吨位同级别、中空长航时无人机系统产品中，处于国际先进水平。http://t.cn/A6o8fQO8 ???,Sat Nov 05 14:31:59 +0800 2022,1175,234,278
【#一招在家练腰肌#】腰部周围肌肉力弱，会导致腰椎稳定性下降，易造成腰椎间盘退变、突出、腰椎滑脱等疾病。一个方法有效提高腰部周围肌肉力量↓↓试试看！（北大医院骨科孙浩林医生） http://t.cn/A6o8imS9 ???,Sat Nov 05 13:48:23 +0800 2022,3503,384,1960
【+1！#我国又多一项全球重要农业文化遗产#】今天，在联合国粮农组织全球重要农业文化遗产专家会议上，“浙江庆元林—菇共育系统”成功通过专家评审，正式获批入选全球重要农业文化遗产保护名录，这是全球唯一以食用菌为主的农业文化遗产。截至目前，中国共有19项全球重要农业文化遗产，列世界首位。 ???,Sat Nov 05 13:16:02 +0800 2022,1431,277,308
【这就是秋天的模样[心]#一个视频感受故宫之秋#】紫禁城的秋，气象无边，浓淡皆宜。微风吹落一阵金色的雨，秋意在每一个角落蔓延。一起感受↓↓http://t.cn/A6o8baS2 ???,Sat Nov 05 12:40:41 +0800 2022,3879,825,1120
【昼夜出击！#海军航空兵最新训练大片#】铁翼掠长空，云端鏖战急。近日，南部战区海军航空兵某旅组织开展多课目跨昼夜飞行训练，有效提升了部队快速反应能力和实战硬功。一组高清大图↓↓看多架战机呼啸升空，直刺苍穹！（央广军事） ???,Sat Nov 05 11:58:46 +0800 2022,1567,552,766
【谢谢好心人！#路人举着红地毯警示后车有人摔倒#】近日，浙江丽水。一位骑电动车的阿姨突发疾病摔倒在车道上。危急时刻，几位路人挺身而出。有人俯身查看阿姨伤情，有人拉开一块刚买的红地毯作为警示物，并打电话求助。救护车很快赶到，阿姨被及时送医，争取到宝贵的抢救时间。http://t.cn/A6o8yAUz ???,Sat Nov 05 11:26:26 +0800 2022,9640,617,682
【[话筒]医生提醒#不要乱抠鼻子#】日常生活中，不少人在鼻子不舒服时喜欢用手去挖鼻孔。医生表示：①频繁挖鼻子不仅会造成鼻出血，局部还可能会形成小的血管瘤；②反复挖鼻子拔鼻毛，会造成慢性的鼻前庭炎，拔掉鼻毛反而把第一道防线破坏；③#反复挖鼻孔会使鼻子更易干#更易出血。http://t.cn/A6o8zdrx ???,Sat Nov 05 10:44:46 +0800 2022,12789,1707,2062
【痛别！#中科院院士杨叔子去世#】4日晚，中国科学院院士、我国机械工程专家、教育家、华中科技大学教授、原华中理工大学（现华中科技大学）校长杨叔子因病医治无效，在武汉逝世，享年89岁。他在我国首倡智能制造，将人工智能和机械制造紧密结合。他曾说：育人是全面的，我们要培养的是文理兼备的人才 ???,Sat Nov 05 10:15:53 +0800 2022,3845,787,527
【#全球43个国际湿地城市中国占13个#】今天，《湿地公约》第14届缔约方大会在武汉和日内瓦开幕。截至目前，《湿地公约》共认定43个国际湿地城市，中国有常德、常熟、东营、哈尔滨、海口、银川、合肥、济宁、梁平、南昌、盘锦、武汉、盐城13个城市入选，是全球入选数量最多的国家。看缤纷湿地↓↓ ???,Sat Nov 05 09:27:05 +0800 2022,1837,486,630
【#11月4日新增596例本土确诊# #11月4日新增3063例本土无症状#】11月4日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例657例。其中境外输入病例61例（福建18例，广东9例，四川8例，上海6例，北京4例，天津3例，内蒙古3例，云南3例，江苏2例，湖南2例，山东1例，重庆1例，陕西1 ???,Sat Nov 05 09:05:04 +0800 2022,781,378,215
【今天，东风一号发射成功62周年】#东风一号是如何诞生的#？1956年10月8日，国防部第五研究院正式组建，在钱学森率领下，中国导弹研制工程迈出了蹒跚的第一步。“外国人能搞的，难道中国人不能搞？”1960年11月5日，“1059”导弹首次试验圆满成功。后来，它被命名为“东风一号”。http://t.cn/A6xw2KkJ ???,Sat Nov 05 08:20:51 +0800 2022,3529,900,1359
【给自己加油！收好这份#2023考研加油壁纸#[心]】距离考研还剩不到50天。一笔一划，一字一句，时光不会负你。#9句话送给考研人#↓↓考场相见！一“研”为定！ ???,Sat Nov 05 07:32:18 +0800 2022,11298,1642,2769
【独处时光里，藏着你未来发光的样子[心]】独处，是一种能力，也是难得的增值期。当你学会和自己相处，你就不会在宁静中感到孤独，意想不到的变化也会慢慢发生。坚持运动、读书学习、整理住处、复盘总结…不负独处时光，愿你悄悄逆袭，活成期待的样子。9件小事让你享受独处↓↓共勉，早安。 ???,Sat Nov 05 07:00:28 +0800 2022,4544,1812,2711
【#你好，明天#】进博时间开启，“四叶草”广迎八方来客。“回头客”越来越多，“朋友圈”越来越大，高精尖产品越来越亮眼，共“进”五年，精彩不断。“路就在脚下，光明就在前方”，以中国新发展为世界提供新机遇，让开放为全球发展带来新的光明前程！ ???,Fri Nov 04 23:05:37 +0800 2022,1896,870,627
【夜读：提升生活品质的8个建议】①停止攀比：丰盈自己的内心，让快乐更持久；②停止自责：与其一味自责，不如复盘分析；③停止后悔：学会释怀，把目光投向前方的道路；④专注自我：排除外界的喧嚣，找回内心的宁静；⑤保持乐观：得意时看淡，失意时看开。更多戳文章↓↓ http://t.cn/A6oQOToJ ???,Fri Nov 04 22:35:02 +0800 2022,3414,1193,1866
【#慢直播看木星伴月#】#木星伴月今晚上演#今晚入夜后，木星将整晚伴随月亮，一同从东方升起西方落下。木星合月是指木星和月亮正好运行到同一经度上，两者距离达到最近的天象。一年中行星合月的现象会发生多次，因为木星的体积比较大，“木星合月”是观赏效果最好的之一。戳直播↓↓一起看。   ???,Fri Nov 04 21:47:36 +0800 2022,1444,349,350
【习近平：#让开放为全球发展带来新的光明前程#】“以开放纾发展之困、以开放汇合作之力、以开放聚创新之势、以开放谋共享之福”“让开放为全球发展带来新的光明前程”，更多#进博会开幕式致辞金句#↓↓收藏，学习！ ???,Fri Nov 04 21:15:29 +0800 2022,2839,464,1202
【全文来了！习近平在第五届中国国际进口博览会开幕式上的致辞】11月4日晚，国家主席习近平以视频方式出席在上海举行的第五届中国国际进口博览会开幕式并发表题为《共创开放繁荣的美好未来》的致辞。收藏全文↓↓ http://t.cn/A6oQSw02 ???,Fri Nov 04 20:42:13 +0800 2022,1108,165,339
【习近平：#路就在脚下光明就在前方#】11月4日晚，国家主席习近平以视频方式出席在上海举行的第五届中国国际进口博览会开幕式并发表题为《共创开放繁荣的美好未来》的致辞。习近平强调，路就在脚下，光明就在前方。中国愿同各国一道，践行真正的多边主义，凝聚更多开放共识，共同克服全球经济发展面临 ???,Fri Nov 04 20:29:04 +0800 2022,2414,495,599
【正在直播：#第五届进口博览会#开幕式】第五届中国国际进口博览会暨虹桥国际经济论坛开幕式今日在上海举行。中共中央总书记、国家主席、中央军委主席习近平发表视频致辞。共同关注！  http://t.cn/A6oQfHKH ???,Fri Nov 04 19:46:48 +0800 2022,1038,143,206
【中央#网信办印发通知加强网络暴力治理#：#平台要设置一键防护功能保护网暴当事人#】中央网信办印发《关于切实加强网络暴力治理的通知》。①网站平台要根据自身特点，建立完善紧急防护功能，提供一键关闭陌生人私信、评论、转发和@ 消息等设置。②对首发、多发、煽动发布网暴信息的账号，依法依规采取 ???,Fri Nov 04 19:25:55 +0800 2022,3056,724,1522
【罕见！#秦岭3分钟内连续拍到2只金钱豹#】近日，陕西长青国家级自然保护区华阳管护站，一台红外相机在不到3分钟时间里，连续拍摄到2只金钱豹活动的高清影像。通过对它们身上特有的花纹图形进行比对，确认为不同个体。金钱豹是秦岭林区现存体型最大的食肉动物，常独居生活，主要分布于海拔1500米至3000 ???,Fri Nov 04 19:03:15 +0800 2022,1586,397,269
【#95岁老战士品尝单兵自热食品连声说好#[心]】11月2日，先后参加过抗日战争、解放战争、抗美援朝战争的95岁老战士李渭清到武警部队参观。他品尝单兵自热食品，观看战士进行武器分解结合后感慨：“你们培养得好，咱以后肯定能打胜仗，为国家做最大的贡献！”当年没有优良装备，他们却护住了山河无恙。 ???,Fri Nov 04 18:25:40 +0800 2022,5765,543,583
【实用收藏！#2个动作改善含胸驼背#】久坐伏案、长期低头，不知不觉就会含胸驼背。学会胸椎伸展、脊柱旋转这两个动作，帮你改善含胸驼背的不良体态。戳视频↓↓↓练起来！http://t.cn/A6oQztJj ???,Fri Nov 04 17:42:50 +0800 2022,4081,343,2002
【#赵立坚回应联大通过涉古巴决议#】#中方连续30次在联大投票支持古巴#11月4日，外交部发言人赵立坚主持例行记者会。有记者提问，据报道，11月3日，第77届联合国大会再次以185票赞成，2票反对，2票弃权的压倒性多数通过决议，要求美国终止对古巴的经济、商业和金融封锁。这已经是联合国大会连续第30次 ???,Fri Nov 04 17:13:30 +0800 2022,2244,321,295
【浪漫！#古建筑遇上七彩秋天有多美#】一叶知秋，遍地金黄。五彩斑斓的秋天与古香古色的建筑相映成趣，尽显诗意之美。在秋日的暖阳下，穿梭在见证光阴流转的古建筑里，一起感受#深秋时节的诗情画意#，体会藏在古建筑中的浪漫秋韵。http://t.cn/A6oHBOP7 ???,Fri Nov 04 16:36:04 +0800 2022,1499,444,654
【高清大图！#空军多型战机将亮相珠海航展#】运油-20、运-20、轰-6K、歼-10C、空警-500，空军八一飞行表演队…第十四届中国航展即将开幕，空军多型战机陆续抵达珠海。一组高清大图，带你看现场↓↓（央视军事） ???,Fri Nov 04 16:08:47 +0800 2022,1862,428,529
【#个人养老金#实施办法出台】近日，人力资源社会保障部、财政部、国家税务总局、银保监会、证监会联合印发《个人养老金实施办法》。《实施办法》规定，参加人参加个人养老金，应当通过国家社会保险公共服务平台、全国人力资源和社会保障政务服务平台、电子社保卡、掌上12333APP等全国统一线上服务入口 ???,Fri Nov 04 15:32:35 +0800 2022,1176,239,701
【浪漫！#祝融号上的中国元素#】百万网友投票征名，“天圆地方”的传统美学，受蝴蝶启发的外形设计，在火星表面碾出的“中”字，桅杆顶端上的“火”字印章，国旗旁的冰墩墩、雪容融……“天问一号”的火星车祝融号，车身上充满了巧思的中国元素。细节满满，戳图来看↓↓ ???,Fri Nov 04 14:57:54 +0800 2022,1649,460,866
【硬核！#中国兵器航展大秀#即将开场】11月8日至13日，第十四届中国航展将在广东珠海举办。明星武器装备现场集结，装甲战车动态表演，展示我国陆军外贸武器装备的最高水平。#中国兵器最新航展宣传片#发布，敬请期待！ http://t.cn/A6oHFWn2 ???,Fri Nov 04 14:24:29 +0800 2022,2137,366,606
【身体当肉垫，#特警换命式救援轻生女孩#】11月1日，河南周口，一名15岁左右的女孩欲跳楼轻生。救援队员刚撑开被子不到半分钟，女孩跳了下来。特警队员郭龙展来不及多想，用身体当“肉垫”接住女孩，自己却腿部3处骨折。这是“以命换命”的救援，向郭龙展致敬，一定早日康复！ http://t.cn/A6oHDE5K ???,Fri Nov 04 13:53:03 +0800 2022,8616,683,543
【#衢州要求高中生拿急救证#网友：建议推广！】浙江衢州一中学从2017年起，将掌握心肺复苏急救知识与学分挂钩。在校学生经培训后，都能拿到红十字会颁发的救护员证书。日前，衢州市政府明确要求，衢州辖区高中生毕业前应取得应急救护证书。#衢州一中学掌握心肺复苏算学分#http://t.cn/A6oTQEjd ???,Fri Nov 04 13:19:47 +0800 2022,2632,295,276
"【#十大最美银杏地#】10个#全国银杏地最佳观赏期#，带你限时解锁“一树金黄醉深秋”↓↓
10月21日-11月12日：丹东九纬路；
10月下旬-11月下旬：青岛崂山风景区；
10月下旬-11月中下旬：安陆古银杏国家森林公园；
10月底-11月中上旬：邳州银杏时光隧道；
10月-11月中下旬：六盘水妥乐村；
11月上旬-中旬 ???",Fri Nov 04 13:05:04 +0800 2022,1313,356,449
"【习近平：中德作为有影响力的大国，在变局乱局中更应携手合作，为世界和平与发展作出更多贡献】国家主席习近平11月4日上午在人民大会堂会见来华正式访问的德国总理朔尔茨。
习近平指出，你是中共二十大召开后首位来访的欧洲领导人，这也是你就任以来首次访华。相信访问将增进双方了解和互信，深化各领 ???",Fri Nov 04 12:44:05 +0800 2022,1889,212,367
【秋意浓！#太行秋日红叶漫山#】近日，河北武安太行山，蜿蜒的山脉连绵起伏，层林尽染，漫山遍野的黄栌、枫叶把秋天装扮得五彩斑斓。http://t.cn/A6oHEowB ???,Fri Nov 04 12:03:28 +0800 2022,1847,553,676
